simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features
66,0.8294865756005653,"7,9,10,15,16",0.8407913330193123,"1,3,7,9,10,15,16",0.8290155440414507,"7,16,9,10,15,1,12,0",0.8290155440414507,"7,16,9,10,15",0.8407913330193123,"1,3,6,7,9,10,15,16"
67,0.8091306459446334,"6,7,9,10,15,16",0.7906750849927149,"6,7,9,10,12,15,16",0.7639630888780962,"7,16,9,10,15,12,13,0,11",0.78630403108305,"7,16,9,10,15,12",0.8052452646915979,"0,1,6,7,8,9,10,11,12,13,15,16"
68,0.808329389493611,"1,6,7,9,10,15,16",0.808329389493611,"1,6,7,9,10,15,16",0.8168480832938949,"7,16,6,1,15,12,9,10",0.8007572172266919,"7,16,6,1,15,12,9",0.8111689540937056,"1,6,7,9,10,15,16"
69,0.8053359683794467,"7,10,16",0.825592885375494,"5,6,7,9,10,16",0.8300395256916996,"7,16,10,15,12,9",0.8053359683794467,"7,16,10",0.8270750988142292,"1,5,6,7,9,10,12,15,16"
70,0.8588957055214724,"6,7,9,10,16",0.8504011326097216,"1,3,6,7,9,10,15,16",0.8371873525247758,"7,9,16,10,15",0.8371873525247758,"7,9,16,10,15",0.8466257668711656,"0,1,3,4,6,7,8,9,10,11,12,13,15,16"
71,0.8346613545816733,"1,6,7,9,10,16",0.8371513944223108,"1,4,6,7,9,10,16",0.8346613545816733,"7,16,9,10,1,6",0.8316733067729084,"7,16,9,10,1",0.8456175298804781,"1,4,6,7,9,10,15,16"
72,0.8492249882573979,"1,3,6,7,9,10,16",0.8435885392202912,"1,3,6,7,9,10,15,16",0.8130577736026303,"7,1,9,15,12,16",0.7792390793799906,"7,1,9,15,12",0.8421794269610146,"0,1,3,6,7,8,9,10,12,15,16"
73,0.8304227941176471,"3,7,9,10",0.8446691176470589,"3,5,6,7,9,10,16",0.8492647058823529,"7,9,10,1,3,5,2",0.8492647058823529,"7,9,10,1,3,5,2",0.8685661764705882,"1,2,3,5,6,7,9,10,15,16"
74,0.8460508701472557,"1,7,9,10,16",0.856314145470772,"1,3,6,7,9,10,15,16",0.8491744756804998,"10,9,7,16,1,12,15",0.8456046407853637,"10,9,7,16,1",0.8527443105756358,"0,1,2,3,6,7,9,10,11,12,13,15,16"
75,0.829064039408867,"7,9,10,15,16",0.8177339901477833,"3,7,9,10,12,15,16",0.854679802955665,"7,16,10,15,9,12,1",0.854679802955665,"7,16,10,15,9,12,1",0.8561576354679803,"1,2,3,5,7,9,10,12,15,16"
76,0.8367528991971455,"1,7,9,10,16",0.8545941123996432,"1,6,7,9,10,16",0.8528099910793934,"7,16,9,1,10,12,6",0.8349687778768956,"7,16,9,1,10,12",0.8487957181088314,"0,1,2,3,5,6,7,8,9,10,11,12,13,14,15,16"
77,0.8304711580801409,"6,7,9,15",0.8608542492294143,"3,6,7,9,10,15",0.8494055482166446,"7,9,6,15,10,12,8,1",0.8326728313518273,"7,9,6,15",0.8652575957727873,"1,3,6,7,9,10,12,15,16"
78,0.8124721603563474,"7,9,10,16",0.8360801781737194,"6,7,9,10,15,16",0.8240534521158129,"7,10,9,16,6,13",0.8120267260579065,"7,10,9,16",0.8432071269487751,"1,2,5,6,7,9,10,11,12,13,15,16"
79,0.8164705882352942,"6,7,9,10,16",0.8409411764705882,"1,3,6,7,9,10,16",0.8442352941176471,"7,16,9,10,6,1,12",0.8409411764705882,"7,16,9,10,6,1",0.8451764705882353,"0,1,3,5,6,7,8,9,10,12,13,14,15,16"
80,0.840887174541948,"1,6,7,9,10,15,16",0.8418514946962391,"1,3,6,7,9,10,15,16",0.8471552555448408,"3,9,7,1,16,5",0.8413693346190936,"3,9,7,1,16",0.8437801350048216,"1,2,3,5,6,7,9,10,11,12,15,16"
81,0.7565217391304347,"7,9,10,16",0.7729977116704806,"1,3,6,7,9,10,16",0.7762013729977116,"7,9,16,10,1,12,6,8",0.7725400457665904,"7,9,16,10,1",0.7775743707093822,"0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16"
82,0.8115873763542157,"1,7,9,16",0.8365520489872822,"1,3,6,7,9,10,15,16",0.8191238813000471,"7,16,1,9,15,12,11",0.8111163447951013,"7,16,1,9",0.8327837965143665,"1,3,6,7,9,10,11,15,16"
83,0.8145,"1,6,7,10,16",0.808,"1,6,7,9,10,15,16",0.8005,"7,16,1,6,12,15,9",0.7815,"7,16,1,6,12",0.8265,"1,2,4,6,7,8,9,10,12,13,14,15,16"
84,0.8636363636363636,"1,6,7,9,10,16",0.8621700879765396,"1,6,7,9,10,16",0.8641251221896383,"7,16,1,6,10,9",0.8577712609970675,"7,16,1,6,10",0.8704789833822092,"1,6,7,8,9,10,12,16"
85,0.7791441219872111,"1,7,9,10,15,16",0.778652238071815,"1,4,6,7,9,10,15,16",0.794392523364486,"7,16,10,9,1,15,8,13,6",0.778160354156419,"7,16,10,9,1,15",0.7816035415641909,"1,4,5,6,7,9,10,15,16"
86,0.8687258687258688,"6,7,9,10,16",0.8595559845559846,"3,6,7,9,10,12,16",0.846042471042471,"7,10,9,16,6,12,1,14",0.8677606177606177,"7,10,9,16,6",0.8228764478764479,"6,7,10"
87,0.797514241325738,"1,6,7,10,16",0.8083894355256344,"1,4,6,7,9,10,16",0.787674779906784,"7,16,10,6,1,12",0.787674779906784,"7,16,10,6,1,12",0.8171931641636457,"1,4,5,6,7,9,10,12,15,16"
88,0.8526264591439688,"1,3,7,10,16",0.8487354085603113,"1,3,6,7,9,10,15,16",0.8224708171206225,"7,10,1,3,16,14,12,15,0",0.8302529182879378,"7,10,1,3,16,14",0.8472762645914397,"1,3,6,7,9,10,15,16"
89,0.8325947808961103,"6,7,10,16",0.8611521418020679,"1,3,6,7,9,10,12,15,16",0.8257016248153619,"16,7,6,12,1,8,15",0.8193008370260956,"16,7,6,12,1,8",0.8419497784342689,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16"
90,0.8129930394431555,"1,6,7,10,16",0.782830626450116,"1,3,4,6,7,10,15,16",0.7893271461716937,"7,16,6,10,1,12,4,15",0.8125290023201857,"7,16,6,10,1",0.8,"1,2,3,4,5,6,7,9,10,11,12,15,16"
91,0.8099808061420346,"6,7,9,10,15,16",0.814299424184261,"1,2,6,7,9,10,15,16",0.7994241842610365,"7,16,9,10,6,1,12,2,13,15",0.8334932821497121,"7,16,9,10,6,1",0.8066218809980806,"0,1,2,5,6,7,8,9,10,11,12,13,15,16"
92,0.8233233233233234,"7,9,10,16",0.8213213213213213,"7,9,10,16",0.8523523523523524,"7,16,9,10,1,12,6",0.8223223223223223,"7,16,9,10",0.8508508508508509,"1,6,7,9,10,12,15,16"
93,0.8072744449692961,"7,9,10,15,16",0.814832309872461,"3,6,7,9,10,15,16",0.7779877184695324,"7,16,9,10,15,2,12,0,6,13,14",0.8072744449692961,"7,16,9,10,15",0.8039678790741616,"0,1,2,3,6,7,8,9,10,11,12,13,14,15,16"
94,0.8443946188340807,"1,6,7,9,10,16",0.8538116591928251,"1,6,7,9,10,15,16",0.820627802690583,"7,16,10,9,15,12,1,6,14,2",0.8358744394618834,"7,16,10,9",0.8479820627802691,"1,6,7,9,10,12,15,16"
95,0.8011310084825636,"1,6,7,9,10,15,16",0.799717247879359,"1,3,6,7,9,10,15,16",0.7860508953817154,"7,9,16,15,1,12,10,13",0.7709707822808671,"7,9,16,15,1,12",0.799717247879359,"1,3,4,6,7,9,10,12,15,16"
96,0.811073336571151,"1,6,7,10,15,16",0.8091306459446334,"1,6,7,9,10,15,16",0.7969888295288975,"7,10,16,6,1,15,12,0,2,9",0.811073336571151,"7,10,16,6,1,15",0.818844099077222,"1,2,5,6,7,9,10,12,15,16"
97,0.8422988505747127,"6,7,9,10,15,16",0.8528735632183908,"1,6,7,9,10,15,16",0.8533333333333334,"7,16,6,10,1,9,2,15",0.8570114942528736,"7,16,6,10,1,9",0.856551724137931,"1,2,6,7,9,10,12,15,16"
98,0.8508189464364763,"1,6,7,9,10,15,16",0.851261620185923,"1,6,7,9,10,15,16",0.8472775564409031,"7,16,6,1,10,15,12,9",0.8441788401947764,"7,16,6,1,10,15,12",0.8543603364320496,"1,2,5,6,7,8,9,10,11,12,13,15,16"
99,0.8601997146932953,"1,6,7,9,10,16",0.844983357108892,"1,3,4,6,7,9,10,16",0.8597242035187826,"7,16,1,10,9,15,12,0",0.8606752258678079,"7,16,1,10,9",0.8578221588207323,"0,1,2,3,4,6,7,8,9,10,12,15,16"
