simulation,HarderLASSO_QUT_(20)_mse,HarderLASSO_QUT_(20)_features,"HarderLASSO_QUT_(20, 10)_mse","HarderLASSO_QUT_(20, 10)_features","HarderLASSO_QUT_(20, 10, 5)_mse","HarderLASSO_QUT_(20, 10, 5)_features"
218,22.272058172202872,"2,3,16,32",0.416047410468929,"2,3,16,32",0.01937983688853479,"2,3,16,32"
219,22.01178423450963,"2,16,20,32",0.03396449577448615,"2,16,20,32",0.007010996606055055,"2,16,20,32"
220,14.01712971158991,"14,24,40,42",14.310812065329813,"14,24,40,42",0.014960911262833467,"14,24,40,42"
221,20.805734290877922,"2,8,19,39",0.02863403800188359,"2,8,19,39",51.57133173738629,
222,22.94013110255911,"2,7,25,34",0.008602516126450868,"2,7,25,34",3.522536076503694,"2,7,25,34"
223,21.35096034954791,"17,18,38,44",0.5012584742289913,"17,18,38,44",0.019457820421152485,"17,18,38,44"
224,13.103004515099196,"1,22,34,41",0.013434411970427359,"1,22,34,41",0.03059226461928428,"1,22,34,41"
225,23.17612396370218,"35,36,45,46",0.026157038235465984,"35,36,45,46",0.0072732978054633095,"35,36,45,46"
226,22.720324410594145,"18,38,40,48",0.0072490385342612465,"18,38,40,48",0.010251098518344605,"18,38,40,48"
227,13.73233669880361,"11,24,29,37",0.00737493030559488,"11,24,29,37",0.008643900995671626,"11,24,29,37"
228,14.388845327336623,"18,22,26,28",0.033097926124320366,"18,22,26,28",0.013513393201072222,"18,22,26,28"
229,20.982374311025282,"7,9,25,29",0.012918459467432399,"7,9,25,29",0.018989215226532893,"7,9,25,29"
230,21.92092386701265,"11,27,28,35",0.5878788131725716,"11,27,28,35",0.019847922027834135,"11,27,28,35"
231,20.59318170026691,"8,23,33,42",0.026707941357777328,"8,23,33,42",0.763416411181159,"8,23,33,42"
232,20.642226428901427,"4,12,16,46",0.02131492892770659,"4,12,16,46",0.010577034936921902,"4,12,16,46"
233,22.89214485717577,"4,6,25,42",0.013137194055320427,"4,6,25,42",0.020879332295848062,"4,6,25,42"
234,12.543458644821976,"16,19,23,34",0.016741797422232776,"16,19,23,34",0.014390078593508217,"16,19,23,34"
235,25.010486678097774,"17,21,32,41",0.033301169164557824,"17,21,32,41",0.021369819504721145,"17,21,32,41"
