simulation,LassoNet_c_index,LassoNet_features,GBoost_c_index,GBoost_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features
75,0.6473838599211733,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49",0.7338889965755637,"4,5,9,11,13,14,15,24,26,29,33,39,45",0.5,,0.5,
76,0.6379166316408877,"0,1,2,3,4,5,7,8,10,13,14,17,18,20,21,22,25,27,29,30,31,34,35,37,38,39,40,41,43,44,45,46,47,48,49",0.722905808675185,"0,1,4,5,14,18,21,27,35,39,41,42,44,45",0.5,,0.5,
77,0.6274156054174247,"1,4,5,6,7,9,10,11,12,13,14,15,16,18,19,22,25,27,28,30,32,35,36,37,38,39,41,43,44,45,47,48,49",0.71759904992925,"1,6,11,12,15,19,22,25,26,34,38,39,41,49",0.5,,0.5,
78,0.5957096217025181,"4,5,6,11,12,15,17,21,26,27,28,29,32,35,37,38,39,40,41,42,43,44,46,47,49",0.7197223631676328,"5,11,12,17,25,26,28,31,33,38,40,41,44,49",0.5,,0.5,
79,0.6696226139609969,"1,2,3,4,6,8,9,12,13,14,17,18,20,21,22,23,25,27,29,30,31,35,36,37,38,39,40,41,42,43,46,47,48",0.6994809874461773,"0,6,13,14,17,22,29,30,31,35,46,47,48",0.5,,0.5,
80,0.603890417489261,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,49",0.6959354775192111,"2,4,14,19,25,26,27,29,30,32,42,44,45,46",0.5,,0.5,
81,0.6356807255988778,"2,4,6,7,8,9,10,11,12,13,14,19,20,21,22,23,24,26,31,33,34,38,40,42,44,46,48,49",0.7240586144438845,"4,6,9,12,13,14,21,29,30,31,34,40,44,45",0.5,,0.5,
82,0.6535754760892882,"0,1,2,4,5,6,8,9,11,12,13,14,15,16,17,19,20,21,22,23,24,25,26,27,28,29,30,31,32,35,37,40,43,46,47,49",0.7466367656284784,"12,13,16,19,22,23,26,28,29,32,34,35,46,49",0.5,,0.5,
83,0.6377627598232302,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,48,49",0.7400919349407591,"4,6,11,21,23,30,31,38,42,43,44,45,46",0.5,,0.5,
84,0.6459568733153639,"0,1,2,3,4,5,6,7,8,9,10,12,13,14,15,16,17,18,19,20,21,23,24,25,26,27,28,29,34,36,37,38,39,40,42,43,44,45,46,48,49",0.7761677962996886,"0,10,13,14,16,21,24,27,29,32,33,42,44,45,49",0.5,,0.5,
85,0.6792584492006457,"0,1,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,30,31,32,33,35,36,38,39,40,41,42,43,44,45,46,47,48,49",0.6884445138780398,"0,3,4,17,18,23,25,28,36,39,43,44,45,46,49",0.5,,0.5,
86,0.6532388150689735,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,15,16,17,18,20,21,22,23,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",0.7283409131370676,"0,9,12,13,22,25,26,28,30,32,35,41,44,47",0.5,,0.5,
