simulation,RandomForest_mse,RandomForest_features,XGBoost_mse,XGBoost_features,LassoNet_mse,LassoNet_features,LASSO_QUT_mse,LASSO_QUT_features,HarderLASSO_QUT_mse,HarderLASSO_QUT_features
47,389.8263650499682,"3,8,13,14,27,29,32,37,43,46,47,48",502.1300169057106,"27,32,43,46",269.47843162000424,"0,3,5,6,8,9,10,11,12,13,14,16,19,21,23,25,26,27,28,29,30,31,32,33,34,35,37,38,39,41,42,43,45,46,47,48,49",507.03128863941146,,119.3740612620271,"3,8,13,14,27,29,31,32,37,43,46,47"
48,306.62498357549174,"2,8,11,15,23,24,26,33,35,39,40,44,45",497.14144839129585,"15,35,39,40,44",282.2988058700684,"1,2,3,4,5,7,8,9,10,11,12,13,15,16,17,18,19,22,23,24,25,26,27,28,29,30,31,32,33,35,36,37,38,39,40,41,43,44,45,46,47,48,49",464.8487628047909,,99.70227546583747,"2,8,11,15,23,24,26,33,35,39,44,45"
49,408.7126913941655,"6,15,17,20,21,35,36,41,43,46,47",586.7523177207615,"35,46",279.3358293866542,"0,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,27,28,29,30,31,32,33,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",528.0529171318169,,199.04458350832056,"6,9,15,17,20,24,33,35,36,41,46"
50,342.24031500404254,"6,8,13,15,19,22,24,34,37,39,42,49",480.50804485056375,"24,34,37,42,49",159.20527285503013,"1,2,4,5,6,7,8,9,10,11,12,13,14,15,17,18,19,20,22,23,24,25,26,27,28,30,31,32,33,34,36,37,38,39,40,41,42,44,47,48,49",476.2202658317217,,246.3743733665825,"1,8,15,19,20,24,34,37,42,49"
51,346.18894128936404,"1,4,5,7,16,18,21,22,29,34,38,40,48,49",530.4016042180361,"38,40,48,49",168.34377521146334,"1,2,3,4,5,6,7,9,10,11,12,13,14,15,16,17,18,19,21,22,23,24,25,26,27,29,30,31,32,34,35,36,38,39,40,42,43,44,45,46,47,48,49",491.4342652815651,,16.165926255210856,"1,4,5,7,16,18,21,22,29,34,38,40,48,49"
52,355.3295281417128,"7,15,19,23,30,33,38,39,47,48",529.3269232345579,"33,38,39",198.02862870701415,"1,3,4,5,6,7,11,12,14,15,16,17,19,20,22,23,24,25,26,27,28,29,30,31,33,36,37,38,39,40,42,43,44,47,48,49",478.3172996401786,,192.00196420011528,"6,7,11,14,15,19,23,38,39,47,48"
53,335.15110316362126,"1,8,11,13,15,28,29,31,40,41,44,45,46",512.6456956106646,"40,44",232.18575405771227,"0,1,3,4,5,6,7,8,11,13,14,15,16,17,18,19,21,22,23,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,44,45,46,47,48,49",460.4517019629805,,172.77488381879135,"1,8,11,13,28,29,40,41,44,45,46"
54,351.3819833827431,"0,1,4,10,14,15,16,17,21,24,29,36,40,41",471.472759605623,"17,24,36,40,41",235.9768543979586,"0,1,2,3,4,5,6,7,8,10,11,12,14,15,16,17,18,19,20,21,24,25,26,27,28,29,30,32,34,36,38,39,40,41,45,46,47,49",524.2915521613709,,101.46808685325963,"0,1,4,10,14,16,17,24,28,29,36,40,41,46"
55,362.6409568989037,"3,7,9,13,16,23,28,33,34,35,42,47,48,49",463.5894501302848,"13,35,47,48,49",131.5579825204467,"0,1,2,3,5,6,7,8,9,10,11,12,13,15,16,18,19,20,21,22,23,25,27,28,29,31,32,33,34,35,36,37,40,41,42,43,44,45,46,47,48,49",461.8903343137547,,20.216323729772675,"3,5,7,9,13,16,23,28,30,33,34,35,42,47,48,49"
56,339.6846601130718,"2,3,12,19,23,30,33,38,39,40,41,43",488.2766741604752,"30,38,40,41,43",163.4667058576579,"1,2,3,4,5,6,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,42,43,44,45,46,47,48,49",492.1701995758293,,117.01022647744496,"2,9,12,19,23,24,30,33,38,39,40,41,43,45,47"
57,401.31951004640337,"1,2,5,9,15,19,22,24,31,32,38,42,44,46,47",613.59271461429,"38,44,46",223.2503362881809,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,18,19,20,21,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,40,41,42,43,44,45,46,47,48,49",513.1305488788466,,111.46692574763802,"1,2,5,9,11,15,19,22,31,32,35,42,44"
58,374.5384119505216,"0,1,11,15,20,30,31,34,36,39,44",514.6102521863083,"31,39,44",204.51321938010997,"0,1,3,4,5,7,9,10,11,12,13,14,15,16,17,18,20,21,22,23,26,27,28,29,30,31,32,33,34,36,37,39,40,41,42,43,44,45,46,48,49",509.6918208349766,,115.6566885369836,"0,11,15,20,29,30,31,32,34,36,39,41,44"
59,375.84452947762514,"1,11,24,26,29,34,35,37,43,47",587.0017641198085,"34,37",254.09164939743977,"0,1,2,3,5,8,9,10,11,12,15,17,18,19,20,21,22,23,24,25,26,27,28,29,30,32,33,34,35,37,38,40,42,43,44,45,46,47,49",494.5345598864658,,2.9030041386090533,"1,11,22,24,25,26,29,32,34,35,37,43,47,49"
60,383.86807133256866,"0,3,5,7,13,14,29,30,32,39,45",643.160414560735,"14,39",137.17271021693995,"0,1,3,4,5,6,7,8,9,11,13,14,15,16,17,18,19,20,21,22,23,25,26,27,29,30,31,32,34,35,37,38,39,40,41,42,43,44,45,46,47,48,49",517.8530052845891,,264.8882611912169,"0,6,7,14,26,29,30,32,39,45"
61,364.7488447727849,"3,6,16,17,23,30,32,33,37,43,46,47,49",614.1548091263364,46,238.60015749301655,"0,1,2,3,4,5,6,7,8,9,10,11,12,13,16,17,18,19,20,22,23,24,25,26,30,32,33,35,37,39,41,43,44,46,47,48,49",528.4601471439103,,9.353180436721711,"2,3,6,8,16,17,23,30,32,33,37,43,46,47,49"
62,339.1270806189936,"0,2,4,5,10,12,16,18,20,24,26,37,39,41",480.8450480472824,"4,20,24,37,39",188.50957549745385,"0,1,2,3,4,5,7,8,9,10,11,12,13,14,15,16,17,18,19,20,22,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40,41,43,44,45,46,47,48,49",517.6744335724014,,61.81525983377809,"0,1,2,4,5,10,12,16,18,20,24,26,37,39,41"
63,365.7255301488648,"5,7,8,18,19,36,37,38,39,40,43,44,46",499.8403349182429,"36,39,40,43,46",208.53629137156483,"0,1,2,3,5,7,8,9,10,11,13,14,15,16,17,18,19,20,21,22,24,28,29,30,32,33,34,35,36,37,38,39,40,42,43,44,46,48,49",520.2424507542659,,122.3943071809474,"5,8,13,15,18,19,36,37,38,39,40,43,44,46"
64,401.4334472404542,"1,5,18,23,25,26,31,32,33,41,42,47",545.8900207303852,"23,25,41,42",175.41503014704807,"1,2,3,5,6,8,9,10,13,14,17,18,20,21,22,23,24,25,26,29,30,31,32,33,34,35,36,37,38,41,42,43,44,47,48,49",543.1275295834776,,124.9745979348325,"1,5,18,22,23,25,26,30,31,33,41,42"
65,374.73595280863407,"0,4,6,13,14,16,22,29,30,34,47",531.158671109053,"29,34,47",142.7623103798745,"0,1,3,4,5,6,7,8,9,10,12,13,14,16,17,18,19,21,22,23,24,25,26,27,28,29,30,31,32,33,34,36,37,38,40,41,44,45,46,47,48",512.7370574704262,,11.155749225904314,"0,4,6,13,14,16,18,22,29,30,32,34,47,48"
66,381.3997295074089,"3,5,9,13,14,15,16,21,24,28,33,34,41,44",633.0773497389424,"24,34",222.07304353829096,"3,5,6,7,8,9,10,11,12,13,14,15,16,18,19,21,22,23,24,25,28,29,30,32,33,34,36,37,38,39,40,41,42,44,45,46,47,48,49",547.2824767991242,,187.83641611649983,"3,5,9,14,15,16,21,24,33,34,41"
