simulation,HarderLASSO_QUT_c_index,HarderLASSO_QUT_features,LASSO_QUT_c_index,LASSO_QUT_features,HarderLASSO_QUT_ANN_c_index,HarderLASSO_QUT_ANN_features,LASSO_QUT_ANN_c_index,LASSO_QUT_ANN_features,AIC_c_index,AIC_features,BIC_c_index,BIC_features,LASSO_CV_c_index,LASSO_CV_features,LassoNet_c_index,LassoNet_features,CoxPH_c_index,CoxPH_features
88,0.7072015370345833,"4,5",0.7074665429972175,"4,5",0.7044189744269246,"2,4,5",0.7061415131840466,"4,5",0.7010070226580098,"4,5,2",0.7070690340532662,"4,5",0.7094872134623029,"2,4,5,6,8",0.7143235722803764,"2,4,5,7,8",0.691334305021863,
89,0.6655375947414314,"2,4,5",0.6656046683211483,"2,4,5",0.6653363740022805,"2,4,5",0.664665638205111,"2,4,5",0.6740224025756255,"4,5,2,8,6,7",0.66600710979945,"4,5,2",0.6553759474143135,"2,4,5,6,8",0.6549735059360118,"0,2,4,5,6,8",0.6764370514454356,
90,0.6793965110796794,"4,5,6",0.6650501784872365,"2,4,5,6",0.6991648144406277,"2,4,5",0.6755910284906042,"2,4,5,6",0.6657910689028087,"4,5,2,6",0.6832019936687547,"4,5,2",0.68424597561797,"2,4,5,6",0.6915201724254058,"0,1,2,3,4,5,6,7,8",0.676163534720819,
91,0.6922972144657087,"4,5",0.6927058503030715,"4,5",0.6313083157392904,4,0.6877681672682694,"4,5",0.6928420622488592,"4,5,2",0.6916842607096643,"4,5",0.6941701287202887,"0,2,3,4,5,6,7,8",0.6594020295579922,"0,1,2,3,4,5,6,7,8",0.6944766055983109,
92,0.6470136220747468,"2,4,5",0.6465246245197346,"2,4,5",0.6482361159622774,"2,4,5",0.6474676912329724,"2,4,5",0.6552567237163814,"4,5,2,6",0.6552567237163814,"4,5,2,6",0.6641983932937479,"0,2,3,4,5,6,7,8",0.6727209221096752,"0,1,2,3,4,5,6,7,8",0.6638491093258819,
93,0.6946450895957772,"4,5",0.6771426587025976,"4,5,6",0.686380052785109,"4,5",0.6875954993749132,"4,5",0.6574524239477705,"4,5,2,6,3,0",0.6848520627864981,"4,5,2",0.6677316293929713,"0,1,2,3,4,5,6,7,8",0.6614113071259897,"0,1,2,3,4,5,6,7,8",0.6664120016668982,
94,0.6698602922327608,"4,5,6",0.6715265316585491,"4,5,6",0.6605678031274033,"4,5",0.6454755190976673,"4,5,6",0.6416944373237632,"4,5,6,8,7,1,0,3",0.6824211740579339,"4,5",0.6552806972571136,"0,1,2,3,4,5,6,7,8",0.6630351192002051,"0,1,2,3,4,5,6,7,8",0.6536785439630863,
95,0.6654202401372212,"4,5",0.6661063464837049,"4,5",0.657975986277873,"4,5",0.6600686106346484,"2,4,5",0.663327615780446,"4,5,2,8,7,6",0.6604116638078902,"4,5,2",0.6632590051457976,"2,4,5,6,8",0.6637392795883362,"2,4,5,6,7,8",0.6647684391080617,
96,0.6704100556356892,"4,5,6",0.6682121024795659,"4,5,6",0.6808159901092108,"4,5,6",0.6660828353595714,"4,5,6",0.6775190603750257,"4,5,2,6,3",0.6941067381001442,"4,5,2",0.6722989216292328,"2,4,5,6",0.6749776770382582,"2,4,5,6,7,8",0.6920118139982142,
97,0.6663370253164557,"2,4,5,6",0.6671940928270043,"2,4,5,6",0.6797534282700421,"2,4,5",0.680017141350211,"2,4,5",0.6551951476793249,"4,5,2,6,3",0.6689741561181435,"4,5,2",0.6673918776371308,"2,3,4,5,6,7,8",0.6764240506329114,"0,1,2,3,4,5,6,7,8",0.6652821729957806,
98,0.6778319123020706,"4,5",0.6784409257003654,"4,5",0.6718432805521721,"4,5",0.6737379889024225,"4,5",0.675734199485722,"4,5,2,3",0.6781702530789011,"4,5",0.6774259033698742,"2,3,4,5,6,7,8",0.6973203410475031,"0,1,2,3,4,5,6,7,8",0.6801326295845175,
99,0.6615627944541661,"4,5",0.6616300982635617,"4,5",0.6549670211333961,"2,4,5",0.6547651097052093,"2,4,5",0.6570870911293579,"4,5,2",0.6607551487414187,"4,5",0.6590052496971328,"2,4,5,6,8",0.6593081168394131,"2,4,5",0.6729707901467223,
